symbol,name,sector,sub_industry,sector_etf
MMM,3M,Industrials,Industrial Conglomerates,XLI
AOS,A. O. Smith,Industrials,Building Products,XLI
ABT,Abbott Laboratories,Health Care,Health Care Equipment,XLV
ABBV,AbbVie,Health Care,Biotechnology,XLV
ACN,Accenture,Information Technology,IT Consulting & Other Services,XLK
ADBE,Adobe Inc.,Information Technology,Application Software,XLK
AMD,Advanced Micro Devices,Information Technology,Semiconductors,XLK
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,XLU
AFL,Aflac,Financials,Life & Health Insurance,XLF
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,XLV
APD,Air Products,Materials,Industrial Gases,XLB
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",XLY
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,XLK
ALB,Albemarle Corporation,Materials,Specialty Chemicals,XLB
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,XLRE
ALGN,Align Technology,Health Care,Health Care Supplies,XLV
ALLE,Allegion,Industrials,Building Products,XLI
LNT,Alliant Energy,Utilities,Electric Utilities,XLU
ALL,Allstate,Financials,Property & Casualty Insurance,XLF
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,XLC
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,XLC
MO,Altria,Consumer Staples,Tobacco,XLP
AMZN,Amazon,Consumer Discretionary,Broadline Retail,XLY
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,XLB
AEE,Ameren,Utilities,Multi-Utilities,XLU
AEP,American Electric Power,Utilities,Electric Utilities,XLU
AXP,American Express,Financials,Consumer Finance,XLF
AIG,American International Group,Financials,Multi-line Insurance,XLF
AMT,American Tower,Real Estate,Telecom Tower REITs,XLRE
AWK,American Water Works,Utilities,Water Utilities,XLU
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,XLF
AME,Ametek,Industrials,Electrical Components & Equipment,XLI
AMGN,Amgen,Health Care,Biotechnology,XLV
APH,Amphenol,Information Technology,Electronic Components,XLK
ADI,Analog Devices,Information Technology,Semiconductors,XLK
AON,Aon plc,Financials,Insurance Brokers,XLF
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,XLE
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,XLF
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",XLK
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,XLK
APP,AppLovin,Information Technology,Application Software,XLK
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,XLY
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,XLF
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,XLP
ARES,Ares Management,Financials,Asset Management & Custody Banks,XLF
ANET,Arista Networks,Information Technology,Communications Equipment,XLK
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,XLF
AIZ,Assurant,Financials,Multi-line Insurance,XLF
T,AT&T,Communication Services,Integrated Telecommunication Services,XLC
ATO,Atmos Energy,Utilities,Gas Utilities,XLU
ADSK,Autodesk,Information Technology,Application Software,XLK
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,XLI
AZO,AutoZone,Consumer Discretionary,Automotive Retail,XLY
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,XLRE
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,XLB
AXON,Axon Enterprise,Industrials,Aerospace & Defense,XLI
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,XLE
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",XLB
BAC,Bank of America,Financials,Diversified Banks,XLF
BAX,Baxter International,Health Care,Health Care Equipment,XLV
BDX,Becton Dickinson,Health Care,Health Care Equipment,XLV
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,XLF
